127.0.0.1 - - [05/Oct/2019:08:35:49 +0545] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [05/Oct/2019:08:36:35 +0545] "GET /web-customer-tracker-aop/ HTTP/1.1" 302 -
127.0.0.1 - - [05/Oct/2019:08:36:39 +0545] "GET /web-customer-tracker-aop/customer/list HTTP/1.1" 200 4311
127.0.0.1 - - [05/Oct/2019:08:36:39 +0545] "GET /web-customer-tracker-aop/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [05/Oct/2019:08:50:51 +0545] "GET /web-customer-tracker-aop/ HTTP/1.1" 302 -
127.0.0.1 - - [05/Oct/2019:08:50:51 +0545] "GET /web-customer-tracker-aop/customer/list HTTP/1.1" 200 4311
127.0.0.1 - - [05/Oct/2019:08:51:30 +0545] "GET /web-customer-tracker-aop/customer/list HTTP/1.1" 200 4311
127.0.0.1 - - [05/Oct/2019:08:51:30 +0545] "GET /web-customer-tracker-aop/resources/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Oct/2019:08:52:03 +0545] "GET /web-customer-tracker-aop/customer/showFormForAdd HTTP/1.1" 200 1437
127.0.0.1 - - [05/Oct/2019:08:52:03 +0545] "GET /web-customer-tracker-aop/resources/css/add-customer-style.css HTTP/1.1" 200 566
127.0.0.1 - - [05/Oct/2019:08:52:18 +0545] "POST /web-customer-tracker-aop/customer/saveCustomer HTTP/1.1" 302 -
127.0.0.1 - - [05/Oct/2019:08:52:18 +0545] "GET /web-customer-tracker-aop/customer/list HTTP/1.1" 200 4874
127.0.0.1 - - [05/Oct/2019:08:57:35 +0545] "GET /web-customer-tracker-aop/ HTTP/1.1" 302 -
127.0.0.1 - - [05/Oct/2019:08:57:35 +0545] "GET /web-customer-tracker-aop/customer/list HTTP/1.1" 200 4874
127.0.0.1 - - [05/Oct/2019:08:57:41 +0545] "GET /web-customer-tracker-aop/customer/list HTTP/1.1" 200 4874
127.0.0.1 - - [05/Oct/2019:08:57:41 +0545] "GET /web-customer-tracker-aop/resources/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Oct/2019:08:57:41 +0545] "GET /web-customer-tracker-aop/customer/list HTTP/1.1" 200 4874
127.0.0.1 - - [05/Oct/2019:08:57:41 +0545] "GET /web-customer-tracker-aop/resources/css/style.css HTTP/1.1" 304 -
